city,admin_name,country
Daegu,Daegu,South Korea
Fortaleza,Ceará,Brazil
Yaoundé,Centre,Cameroon
Jilin,Jilin,China
Dandong,Liaoning,China
Zhuhai,Guangdong,China
Lianshan,Liaoning,China
Yingkou,Liaoning,China
Antalya,Antalya,Turkey
Nāgpur,Mahārāshtra,India
Queens,New York,United States
Accra,Greater Accra,Ghana
Bekasi,Jawa Barat,Indonesia
Ghāziābād,Uttar Pradesh,India
Yuxi,Yunnan,China
Luoyang,Henan,China
Brisbane,Queensland,Australia
Anshun,Guizhou,China
Depok,Jawa Barat,Indonesia
Shangzhou,Shaanxi,China
Huainan,Anhui,China
Colombo,Western,Sri Lanka
Kuaidamao,Jilin,China
Baku,Bakı,Azerbaijan
Fukuoka,Fukuoka,Japan
Yan’an,Shaanxi,China
Jincheng,Shanxi,China
Vancouver,British Columbia,Canada
Nantong,Jiangsu,China
Tangerang,Jawa Barat,Indonesia
Caracas,Distrito Capital,Venezuela
Sanmenxia,Henan,China
Laibin,Guangxi,China
Konya,Konya,Turkey
Manaus,Amazonas,Brazil
Eşfahān,Eşfahān,Iran
Qinbaling,Gansu,China
Baltimore,Maryland,United States
Ma’anshan,Anhui,China
Shengli,Shandong,China
Gaoping,Sichuan,China
Taizhou,Zhejiang,China
Harare,Harare,Zimbabwe
Kowloon,,Hong Kong
Las Vegas,Nevada,United States
Havana,La Habana,Cuba
Perth,Western Australia,Australia
Phnom Penh,Phnom Penh,Cambodia
Puning,Guangdong,China
Huaibei,Anhui,China
Qingyang,Fujian,China
Haiphong,Hải Phòng,Vietnam
Chongzuo,Guangxi,China
Rawalpindi,Punjab,Pakistan
Yushan,Jiangsu,China
St. Louis,Missouri,United States
Kumasi,Ashanti,Ghana
Vadodara,Gujarāt,India
Hezhou,Guangxi,China
Pingliang,Gansu,China
Portland,Oregon,United States
Vishākhapatnam,Andhra Pradesh,India
Gujranwala,Punjab,Pakistan
Baicheng,Jilin,China
Gaziantep,Gaziantep,Turkey
Fushun,Liaoning,China
Riverside,California,United States
Bamako,Bamako,Mali
Quito,Pichincha,Ecuador
Minsk,Minsk,Belarus
Tijuana,Baja California,Mexico
Bamenda,North-West,Cameroon
Boosaaso,Bari,Somalia
Indore,Madhya Pradesh,India
Şanlıurfa,Şanlıurfa,Turkey
Vienna,Wien,Austria
Karaj,Alborz,Iran
Kananga,Kasaï Central,Congo (Kinshasa)
Peshawar,Khyber Pakhtunkhwa,Pakistan
Sapporo,Hokkaidō,Japan
Ecatepec,México,Mexico
Pingxiang,Jiangxi,China
Orlando,Florida,United States
Aleppo,Ḩalab,Syria
Sacramento,California,United States
Almaty,,Kazakhstan
San Juan,Puerto Rico,Puerto Rico
San Antonio,Texas,United States
Yinchuan,Ningxia,China
Thāne,Mahārāshtra,India
Santos,São Paulo,Brazil
Blantyre,Blantyre,Malawi
Bucharest,Bucureşti,Romania
Curitiba,Paraná,Brazil
Multan,Punjab,Pakistan
Tainan,Tainan,Taiwan
Xiping,Shanxi,China
Port Harcourt,Rivers,Nigeria
Warsaw,Mazowieckie,Poland
Jixi,Heilongjiang,China
Saidu Sharif,Khyber Pakhtunkhwa,Pakistan
Liaoyang,Liaoning,China
Beihai,Guangxi,China
Meru,Meru,Kenya
Brazzaville,Brazzaville,Congo (Brazzaville)
Fuxin,Liaoning,China
Wuwei,Gansu,China
Mersin,Mersin,Turkey
Bhopāl,Madhya Pradesh,India
Lubumbashi,Haut-Katanga,Congo (Kinshasa)
Denpasar,Bali,Indonesia
Davao,Davao,Philippines
Shuyangzha,Jiangsu,China
Adana,Adana,Turkey
Damascus,Dimashq,Syria
Brussels,Brussels-Capital Region,Belgium
Hyderabad City,Sindh,Pakistan
Diyarbakır,Diyarbakır,Turkey
San Jose,California,United States
Chinchvad,Mahārāshtra,India
Montevideo,Montevideo,Uruguay
Pittsburgh,Pennsylvania,United States
Shuozhou,Shanxi,China
Cincinnati,Ohio,United States
Benxi,Liaoning,China
Baiyin,Gansu,China
Mosul,Nīnawá,Iraq
Manhattan,New York,United States
Caloocan City,Caloocan,Philippines
Kampala,Kampala,Uganda
Patna,Bihār,India
Tegucigalpa,Francisco Morazán,Honduras
Cleveland,Ohio,United States
Sanzhou,Chongqing,China
Changshu,Jiangsu,China
Mecca,Makkah al Mukarramah,Saudi Arabia
Heihe,Heilongjiang,China
Jingdezhen,Jiangxi,China
Conakry,Conakry,Guinea
Recife,Pernambuco,Brazil
Indianapolis,Indiana,United States
Austin,Texas,United States
Sangereng,Jawa Barat,Indonesia
Kansas City,Missouri,United States
Zhongli,Taoyuan,Taiwan
Novosibirsk,Novosibirskaya Oblast’,Russia
Bilāspur,Chhattīsgarh,India
Semarang,Jawa Tengah,Indonesia
Ludhiāna,Punjab,India
Nārāyanganj,Dhaka,Bangladesh
Stockholm,Stockholm,Sweden
Chengtangcun,Shandong,China
Āgra,Uttar Pradesh,India
Balandougou,Kayes,Mali
Agwār,Uttar Pradesh,India
León de los Aldama,Guanajuato,Mexico
Yopougon,Abidjan,Côte d'Ivoire
Puebla,Puebla,Mexico
Madurai,Tamil Nādu,India
Hebi,Henan,China
Córdoba,Córdoba,Argentina
Shīrāz,Fārs,Iran
Jamshedpur,Jhārkhand,India
Tabrīz,Āz̄arbāyjān-e Sharqī,Iran
Huzhou,Zhejiang,China
Columbus,Ohio,United States
Sofia,Sofia-Grad,Bulgaria
Kawasaki,Kanagawa,Japan
San José,San José,Costa Rica
Aba,Abia,Nigeria
Palembang,Sumatera Selatan,Indonesia
Zhangjiajie,Hunan,China
Kōbe,Hyōgo,Japan
Jiaxing,Zhejiang,China
Charlotte,North Carolina,United States
Guiping,Guangxi,China
Lianjiang,Guangdong,China
Ximeicun,Fujian,China
Jianguang,Jiangxi,China
Yucheng,Sichuan,China
Panama City,Panamá,Panama
Xushan,Zhejiang,China
Belém,Pará,Brazil
Virginia Beach,Virginia,United States
Leizhou,Guangdong,China
Gwangju,Gwangju,South Korea
Nāsik,Mahārāshtra,India
Porto Alegre,Rio Grande do Sul,Brazil
Valencia,Carabobo,Venezuela
Onitsha,Anambra,Nigeria
Abu Dhabi,Abū Z̧aby,United Arab Emirates
Daejeon,Daejeon,South Korea
Zapopan,Jalisco,Mexico
Bronx,New York,United States
Yekaterinburg,Sverdlovskaya Oblast’,Russia
Huazhou,Henan,China
Kyōto,Kyōto,Japan
Jinhua,Zhejiang,China
Amsterdam,Noord-Holland,Netherlands
Shuangyashan,Heilongjiang,China
Pizhou,Jiangsu,China
El Kelaa des Srarhna,Marrakech-Safi,Morocco
Dakar,Dakar,Senegal
Kharkiv,Kharkivska Oblast,Ukraine
Yangshe,Jiangsu,China
Guyuan,Ningxia,China
Rui’an,Zhejiang,China
Khulna,Khulna,Bangladesh
Muscat,Masqaţ,Oman
Wenling,Zhejiang,China
Gaozhou,Guangdong,China
Farīdābād,Haryāna,India
Chizhou,Anhui,China
Tel Aviv-Yafo,Tel Aviv,Israel
Ulaanbaatar,Ulaanbaatar,Mongolia
Goiânia,Goiás,Brazil
Fuqing,Fujian,China
Kayseri,Kayseri,Turkey
Wuzhong,Ningxia,China
Belgrade,Beograd,Serbia
Pingdu,Shandong,China
Milan,Lombardy,Italy
Aurangābād,Mahārāshtra,India
Copenhagen,Hovedstaden,Denmark
Yangquan,Shanxi,China
Yutan,Hunan,China
Huangshan,Anhui,China
Auckland,Auckland,New Zealand
Makassar,Sulawesi Selatan,Indonesia
Santiago,Cibao Norte,Dominican Republic
Milwaukee,Wisconsin,United States
Rājkot,Gujarāt,India
Prague,Praha,Czechia
Samsun,Samsun,Turkey
Liangshi,Hunan,China
Barranquilla,Atlántico,Colombia
Saitama,Saitama,Japan
Guarulhos,São Paulo,Brazil
Al Başrah,Al Başrah,Iraq
Mandalay,Mandalay,Myanmar
Juárez,Chihuahua,Mexico
Xintai,Shandong,China
Wusong,Anhui,China
Meerut,Uttar Pradesh,India
Yushu,Jilin,China
Rongcheng,Yunnan,China
Huazhou,Guangdong,China
Adelaide,South Australia,Australia
Baishan,Jilin,China
Dayan,Yunnan,China
Haicheng,Liaoning,China
Tripoli,Ţarābulus,Libya
Jiangyin,Jiangsu,China
Yicheng,Jiangsu,China
Huaiyin,Jiangsu,China
Porto,Porto,Portugal
Cacuaco,Luanda,Angola
Soweto,Gauteng,South Africa
Rosario,Santa Fe,Argentina
Canagatan,Cagayan,Philippines
Helsinki,Uusimaa,Finland
Jabalpur,Madhya Pradesh,India
Providence,Rhode Island,United States
Rucheng,Jiangsu,China
Nizhniy Novgorod,Nizhegorodskaya Oblast’,Russia
Ahvāz,Khūzestān,Iran
Jepara,Jawa Tengah,Indonesia
Shaoyang,Jiangsu,China
Comayagüela,Francisco Morazán,Honduras
Laiwu,Shandong,China
Sharjah,Ash Shāriqah,United Arab Emirates
Kalamboli,Mahārāshtra,India
Jingling,Hubei,China
Kazan,Tatarstan,Russia
Suwon,Gyeonggi,South Korea
Yongcheng,Henan,China
Sumedang,Jawa Barat,Indonesia
Calgary,Alberta,Canada
Cần Thơ,Cần Thơ,Vietnam
Yiwu,Zhejiang,China
Bagam,Kepulauan Riau,Indonesia
Beidao,Gansu,China
Vasai,Mahārāshtra,India
Xiangshui,Guizhou,China
Jacksonville,Florida,United States
Akçaabat,Trabzon,Turkey
Campinas,São Paulo,Brazil
Dadukou,Sichuan,China
Mombasa,Mombasa,Kenya
Lingcheng,Guangxi,China
Najafgarh,Delhi,India
Vila Velha,Amapá,Brazil
Gāzipura,Dhaka,Bangladesh
Chelyabinsk,Chelyabinskaya Oblast’,Russia
Vārānasi,Uttar Pradesh,India
Xinyu,Jiangxi,China
Qom,Qom,Iran
Hargeysa,Woqooyi Galbeed,Somalia
Zhangye,Gansu,China
Hiroshima,Hiroshima,Japan
Maiduguri,Borno,Nigeria
Chiang Mai,Chiang Mai,Thailand
Doha,Ad Dawḩah,Qatar
Maputo,Maputo,Mozambique
Mbandaka,Équateur,Congo (Kinshasa)
Pikine,Dakar,Senegal
Medina,Al Madīnah al Munawwarah,Saudi Arabia
Srīnagar,Jammu and Kashmīr,India
Omsk,Omskaya Oblast’,Russia
Dublin,Dublin,Ireland
Liaoyuan,Jilin,China
Cilacap,Jawa Tengah,Indonesia
Yingtan,Jiangxi,China
Bandar Lampung,Lampung,Indonesia
Samara,Samarskaya Oblast’,Russia
Guankou,Hunan,China
Ulsan,Ulsan,South Korea
Dhanbād,Jhārkhand,India
Dingzhou,Hebei,China
Lianyuan,Hunan,China
Rongcheng,Hubei,China
Kaiyuan,Henan,China
Nay Pyi Taw,Nay Pyi Taw,Myanmar
Zhuji,Zhejiang,China
Kigali,Kigali,Rwanda
Bukavu,Sud-Kivu,Congo (Kinshasa)
Leiyang,Hunan,China
Bafoussam,Ouest,Cameroon
Yichun,Heilongjiang,China
Benin City,Edo,Nigeria
Rostov,Rostovskaya Oblast’,Russia
Xiantao,Hubei,China
Amritsar,Punjab,India
Callao,Callao,Peru
Salt Lake City,Utah,United States
Alīgarh,Uttar Pradesh,India
Shagamu,Ogun,Nigeria
Yingchuan,Henan,China
Ciudad Nezahualcóyotl,México,Mexico
Tbilisi,Tbilisi,Georgia
Guwāhāti,Assam,India
Ufa,Bashkortostan,Russia
Fès,Fès-Meknès,Morocco
São Luís,Maranhão,Brazil
Biên Hòa,Đồng Nai,Vietnam
Sevilla,Andalusia,Spain
N’Djamena,N’Djamena,Chad
Mexicali,Baja California,Mexico
Nezahualcóyotl,México,Mexico
Ikare,Ondo,Nigeria
Nashville,Tennessee,United States
Tamale,Northern,Ghana
Xibeijie,Gansu,China
Yuyao,Zhejiang,China
Hāora,West Bengal,India
Hanchuan,Hubei,China
Gongzhuling,Jilin,China
Krasnoyarsk,Krasnoyarskiy Kray,Russia
Cologne,North Rhine-Westphalia,Germany
Bujumbura,Bujumbura Mairie,Burundi
Bishkek,Bishkek,Kyrgyzstan
Zhufeng,Shandong,China
São Gonçalo,Rio de Janeiro,Brazil
Yerevan,Yerevan,Armenia
Ezhou,Hubei,China
Nur-Sultan,,Kazakhstan
Tongjin,Gyeonggi,South Korea
Nouakchott,Nouakchott Ouest,Mauritania
Xiashi,Zhejiang,China
Rānchi,Jhārkhand,India
Taixing,Jiangsu,China
Vereeniging,Gauteng,South Africa
Gwalior,Madhya Pradesh,India
Zhongwei,Ningxia,China
Goyang,Gyeonggi,South Korea
Oslo,Oslo,Norway
Vijayavāda,Andhra Pradesh,India
Chandīgarh,Chandīgarh,India
Edmonton,Alberta,Canada
Sendai,Miyagi,Japan
Raleigh,North Carolina,United States
Mizhou,Shandong,China
Tunis,Tunis,Tunisia
Xishan,Hunan,China
Barquisimeto,Lara,Venezuela
Hegang,Heilongjiang,China
Voronezh,Voronezhskaya Oblast’,Russia
Perm,Permskiy Kray,Russia
Changwon,Gyeongnam,South Korea
Fangchenggang,Guangxi,China
Shouguang,Shandong,China
Bogor,Jawa Barat,Indonesia
Cartagena,Bolívar,Colombia
Matola,Maputo,Mozambique
Jodhpur,Rājasthān,India
Memphis,Tennessee,United States
Ogbomoso,Oyo,Nigeria
Rangapukur,Rangpur,Bangladesh
Managua,Managua,Nicaragua
Sanya,Hainan,China
Shymkent,,Kazakhstan
Wutong,Zhejiang,China
Niamey,Niamey,Niger
Shubrā al Khaymah,Al Qalyūbīyah,Egypt
Linhai,Zhejiang,China
Denizli,Denizli,Turkey
Maceió,Alagoas,Brazil
Monrovia,Montserrado,Liberia
Wafangdian,Liaoning,China
Zhongxiang,Hubei,China
Louisville,Kentucky,United States
Odesa,Odeska Oblast,Ukraine
Thủ Đức,Hồ Chí Minh,Vietnam
Volgograd,Volgogradskaya Oblast’,Russia
Islamabad,Islamabad,Pakistan
Port-au-Prince,Ouest,Haiti
Xinyi,Guangdong,China
Raipur,Chhattīsgarh,India
Arequipa,Arequipa,Peru
Richmond,Virginia,United States
Zaoyang,Hubei,China
Buffalo,New York,United States
Shuizhai,Henan,China
Xingyi,Guizhou,China
Kota,Rājasthān,India
Quetta,Balochistan,Pakistan
Kathmandu,,Nepal
Ottawa,Ontario,Canada
Lilongwe,Lilongwe,Malawi
Asmara,Ma’ĭkel,Eritrea
Freetown,Western Area,Sierra Leone
Vientiane,Viangchan,Laos
Jerusalem,Jerusalem,Israel
Riga,Rīga,Latvia
Bangui,Bangui,Central African Republic
Dushanbe,Dushanbe,Tajikistan
Lomé,Maritime,Togo
Ashgabat,Aşgabat,Turkmenistan
Zagreb,"Zagreb, Grad",Croatia
Libreville,Estuaire,Gabon
Cotonou,Littoral,Benin
Pretoria,Gauteng,South Africa
Vilnius,Vilniaus Miestas,Lithuania
Winnipeg,Manitoba,Canada
Quebec City,Quebec,Canada
Chisinau,Chişinău,Moldova
Port Moresby,National Capital,Papua New Guinea
Skopje,Skopje,Macedonia
Djibouti,Djibouti,Djibouti
Gaza,,Gaza Strip
Kingston,Kingston,Jamaica
Rabat,Rabat-Salé-Kénitra,Morocco
San Salvador,San Salvador,El Salvador
The Hague,Zuid-Holland,Netherlands
Asunción,Asunción,Paraguay
Juba,Central Equatoria,South Sudan
Maseru,Maseru,Lesotho
Bissau,Bissau,Guinea-Bissau
Valletta,Valletta,Malta
Bratislava,Bratislava,Slovakia
Kitchener,Ontario,Canada
Manama,Al ‘Āşimah,Bahrain
Tallinn,Tallinn,Estonia
Beirut,Beyrouth,Lebanon
Cape Town,Western Cape,South Africa
Tirana,Tiranë,Albania
Sarajevo,"Bosnia and Herzegovina, Federation of",Bosnia and Herzegovina
Wellington,Wellington,New Zealand
Banjul,Banjul,The Gambia
Halifax,Nova Scotia,Canada
Canberra,Australian Capital Territory,Australia
Yamoussoukro,Yamoussoukro,Côte d'Ivoire
Victoria,British Columbia,Canada
Nicosia,Lefkosía,Cyprus
Windhoek,Khomas,Namibia
Saint-Denis,,Reunion
Porto-Novo,Ouémé,Benin
Sucre,Chuquisaca,Bolivia
Ljubljana,Ljubljana,Slovenia
Nassau,,The Bahamas
Bloemfontein,Free State,South Africa
Fort-de-France,,Martinique
New Delhi,Delhi,India
Gaborone,Gaborone,Botswana
Paramaribo,Paramaribo,Suriname
Dili,Díli,Timor-Leste
Dodoma,Dodoma,Tanzania
Georgetown,Demerara-Mahaica,Guyana
Gibraltar,,Gibraltar
Malabo,Bioko Norte,Equatorial Guinea
Suva,Rewa,Fiji
Nouméa,Province Sud,New Caledonia
Pristina,Prishtinë,Kosovo
Male,Maale,Maldives
Port Louis,Port Louis,Mauritius
Podgorica,Podgorica,Montenegro
Willemstad,,Curaçao
Bern,Bern,Switzerland
Gitega,Gitega,Burundi
Reykjavík,Reykjavík,Iceland
Luxembourg,Luxembourg,Luxembourg
Papeete,Îles du Vent,French Polynesia
Praia,Praia,Cabo Verde
Sri Jayewardenepura Kotte,Western,Sri Lanka
Bridgetown,Saint Michael,Barbados
Moroni,Grande Comore,Comoros
Thimphu,Thimphu,Bhutan
Mbabane,Hhohho,Swaziland
Honiara,Honiara,Solomon Islands
Port of Spain,Port of Spain,Trinidad and Tobago
Castries,Castries,Saint Lucia
Putrajaya,Putrajaya,Malaysia
Cayenne,,French Guiana
São Tomé,Água Grande,Sao Tome and Principe
Port-Vila,Shefa,Vanuatu
Bandar Seri Begawan,Brunei dan Muara,Brunei
Monaco,,Monaco
Apia,Tuamasaga,Samoa
Tarawa,,Kiribati
Oranjestad,,Aruba
